timestamp,avg_min_cpu,avg_max_cpu,avg_avg_cpu
1751449344,38.74,65.76,51.82
1751449944,50.93,66.33,56.7
1751450544,46.85,69.22,54.4
1751451144,41.91,65.58,52.61
1751451744,49.16,69.28,56.16
1751452344,45.17,68.94,54.62
1751452945,51.86,63.3,56.94
1751453545,49.02,65.73,57.26
1751454145,47.2,70.63,55.18
1751454745,46.78,72.95,57.47
1751455345,44.27,65.25,56.22
1751455945,45.88,70.66,56.19
1751456545,52.96,69.47,58.72
1751457146,41.47,67.29,54.48
1751457746,43.31,66.29,54.9
1751458346,41.26,74.66,55.29
1751458946,45.17,73.26,54.07
1751459546,40.22,71.54,54.72
1751460146,42.61,60.01,54.77
1751460746,44.86,66.14,55.28
1751461347,45.83,66.29,55.69
1751461947,41.88,61.04,54.53
1751462547,43.28,66.38,54.52
1751463147,39.41,72.4,53.03
1751463747,43.79,68.0,51.04
1751464347,48.25,67.41,55.77
1751464947,39.06,64.93,50.82
1751465548,49.69,72.35,55.23
1751466148,46.79,59.83,52.04
1751466748,40.84,71.96,53.13
1751467348,47.0,72.75,54.28
1751467948,40.17,56.69,48.78
1751468548,45.93,67.89,51.95
1751469148,40.08,57.46,51.78
1751469749,41.35,59.2,51.16
1751470349,42.77,71.89,52.71
1751470949,35.3,61.22,48.89
1751471549,39.53,59.48,51.31
1751472149,43.39,59.62,52.0
1751472749,39.07,66.65,48.38
1751473349,47.83,71.59,53.03
1751473949,34.45,57.52,47.14
1751474550,26.38,50.97,40.17
1751475150,31.69,63.67,44.48
1751475750,38.04,63.17,50.18
1751476350,34.76,58.67,43.23
1751476950,35.0,54.48,44.86
1751477550,37.14,55.47,48.85
1751478150,34.5,56.4,45.05
1751478751,26.41,57.66,38.81
1751479351,32.98,57.41,44.13
1751479951,29.03,48.25,42.91
1751480551,26.58,44.9,39.64
1751481151,26.91,49.7,40.76
1751481751,32.53,54.74,40.2
1751482351,23.97,58.31,38.32
1751482952,30.38,53.05,39.64
1751483552,24.44,47.6,37.9
1751484152,23.95,50.5,35.37
1751484752,26.72,52.5,37.69
1751485352,30.93,44.96,38.53
1751485952,30.26,41.94,36.76
1751486552,25.46,58.76,38.88
1751487153,20.43,42.81,34.85
1751487753,33.25,53.29,40.9
1751488353,27.69,52.34,36.89
1751488953,23.84,42.58,36.56
1751489553,20.31,46.34,34.5
1751490153,22.18,41.9,33.78
1751490753,21.87,49.55,36.2
1751491354,32.38,53.79,37.46
1751491954,27.3,42.83,34.19
1751492554,20.99,51.53,35.62
1751493154,23.78,34.53,28.9
1751493754,16.53,35.74,29.84
1751494354,26.67,46.34,32.23
1751494954,26.85,51.05,34.66
1751495554,14.1,32.37,26.29
1751496155,25.07,45.06,31.72
1751496755,26.29,49.39,31.66
1751497355,24.73,40.63,31.11
1751497955,22.8,39.56,30.96
1751498555,15.15,47.44,29.86
1751499155,16.17,46.73,30.27
1751499755,17.57,37.48,32.03
1751500356,14.42,47.44,29.12
1751500956,25.58,47.46,32.98
1751501556,19.65,41.17,32.3
1751502156,23.92,48.8,32.85
1751502756,25.26,44.06,33.76
1751503356,22.51,48.01,35.67
1751503956,29.06,51.5,35.21
1751504557,28.11,45.32,36.17
1751505157,27.7,53.68,38.56
1751505757,14.84,40.72,28.5
1751506357,25.99,42.85,31.8
1751506957,22.94,50.67,36.5
1751507557,26.65,47.44,36.11
1751508157,20.45,43.0,33.54
1751508758,32.06,45.02,37.28
1751509358,32.34,57.1,37.53
1751509958,21.6,47.03,35.28
1751510558,26.27,53.93,36.43
1751511158,19.5,41.13,33.81
1751511758,24.57,52.69,34.56
1751512358,29.73,45.59,36.25
1751512959,23.09,45.8,37.05
1751513559,27.22,48.88,41.04
1751514159,24.35,46.49,39.14
1751514759,35.09,50.13,40.14
1751515359,36.34,60.95,43.84
1751515959,37.93,56.65,44.63
1751516559,33.84,57.59,39.33
1751517159,31.39,64.31,44.71
1751517760,26.69,46.65,40.5
1751518360,36.68,59.66,46.47
1751518960,33.8,64.71,44.76
1751519560,29.13,55.91,41.2
1751520160,33.74,61.27,44.09
1751520760,37.26,58.94,47.66
1751521360,32.67,64.29,46.07
1751521961,35.94,54.8,42.88
1751522561,33.34,51.97,46.27
1751523161,35.63,61.83,46.79
1751523761,32.42,55.33,46.74
1751524361,38.67,59.55,49.3
1751524961,35.14,65.8,48.27
1751525561,40.49,69.72,49.97
1751526162,36.04,60.26,49.96
1751526762,38.38,66.69,49.94
1751527362,42.68,61.9,49.7
1751527962,37.96,68.13,50.18
1751528562,39.99,67.04,54.03
1751529162,45.07,61.03,53.79
1751529762,42.5,71.15,51.18
1751530363,39.92,60.0,52.28
1751530963,42.36,69.74,54.89
1751531563,45.14,67.72,51.54
1751532163,42.2,60.68,55.0
1751532763,48.63,65.33,55.82
1751533363,43.29,61.43,55.93
1751533963,50.52,63.87,55.71
1751534564,46.98,76.61,58.52
1751535164,50.24,71.03,56.54
1751535764,49.96,70.11,55.76
1751536364,43.07,72.79,56.05
1751536964,47.02,66.77,57.77
1751537564,42.56,66.59,55.19
1751538164,43.45,60.15,54.71
1751538764,44.04,64.57,58.46
1751539365,41.47,71.58,55.1
1751539965,48.98,77.33,58.83
1751540565,52.64,67.25,58.02
1751541165,51.77,72.3,60.89
1751541765,54.51,76.82,59.72
1751542365,49.97,68.33,61.94
1751542965,43.69,73.08,58.5
1751543566,50.48,64.94,57.93
1751544166,45.48,71.86,56.48
1751544766,44.47,64.0,57.35
1751545366,51.7,67.67,57.95
1751545966,52.44,70.4,59.03
1751546566,50.03,67.54,59.22
1751547166,41.63,62.36,55.26
1751547767,45.84,68.27,60.65
1751548367,44.06,72.62,55.39
1751548967,51.28,66.66,58.57
1751549567,53.48,71.66,61.44
1751550167,52.62,65.28,58.31
1751550767,44.3,67.44,57.04
1751551367,44.8,62.76,53.6
1751551968,40.76,60.58,55.15
1751552568,50.22,70.91,57.83
1751553168,46.4,69.05,58.89
1751553768,43.47,76.62,57.1
1751554368,42.23,70.58,53.94
1751554968,49.71,71.72,55.67
1751555568,48.54,72.61,56.14
1751556169,37.14,58.65,49.18
1751556769,35.81,61.33,50.63
1751557369,41.36,58.15,48.69
1751557969,44.64,70.92,52.16
1751558569,45.07,62.84,53.6
1751559169,35.62,57.54,50.34
1751559769,39.56,57.24,49.43
1751560369,43.08,58.62,48.3
1751560970,41.03,63.3,52.15
1751561570,41.09,67.86,49.1
1751562170,41.15,60.71,47.55
1751562770,40.94,69.38,51.68
1751563370,39.94,59.83,46.92
1751563970,42.33,62.11,49.22
1751564570,32.43,65.28,46.61
1751565171,32.2,50.63,45.21
1751565771,36.42,57.31,43.29
1751566371,35.49,62.08,46.64
1751566971,32.23,58.59,43.45
1751567571,33.84,53.7,45.0
1751568171,31.15,58.17,45.9
1751568771,34.18,54.86,47.01
1751569372,28.04,62.06,42.42
1751569972,34.86,53.79,43.89
1751570572,34.22,56.16,40.37
1751571172,32.6,50.81,41.22
1751571772,34.05,50.05,42.34
1751572372,28.08,50.75,40.52
1751572972,28.59,61.51,41.6
1751573573,27.76,58.15,40.74
1751574173,33.6,49.3,41.11
1751574773,27.53,44.72,36.6
1751575373,25.99,45.85,38.84
1751575973,29.11,49.94,36.66
1751576573,28.75,47.54,37.77
1751577173,30.38,46.11,36.3
1751577774,24.96,51.72,36.64
1751578374,25.6,45.95,36.43
1751578974,21.87,53.01,36.44
1751579574,22.99,40.01,32.61
1751580174,25.86,40.13,31.84
1751580774,25.39,54.02,35.42
1751581374,19.79,48.78,32.81
1751581974,22.68,50.99,33.05
1751582575,24.89,53.6,36.53
1751583175,25.5,43.68,34.95
1751583775,28.4,51.71,33.7
1751584375,24.29,48.3,32.74
1751584975,23.0,46.8,32.92
1751585575,27.56,47.44,35.15
1751586175,26.18,38.2,32.65
1751586776,26.03,50.81,35.4
1751587376,23.45,43.67,30.91
1751587976,23.95,41.42,32.72
1751588576,22.43,46.86,33.23
1751589176,27.19,43.48,32.54
1751589776,20.13,49.93,31.7
1751590376,15.94,45.64,29.96
1751590977,25.03,45.03,33.78
1751591577,23.21,40.58,31.38
1751592177,19.8,44.59,30.54
1751592777,22.25,48.7,32.69
1751593377,21.14,37.57,30.76
1751593977,18.7,45.38,32.66
1751594577,24.15,43.62,32.69
1751595178,22.0,48.03,30.07
1751595778,22.47,54.11,34.52
1751596378,28.41,47.33,33.55
1751596978,23.89,54.4,34.61
1751597578,25.11,47.18,32.8
1751598178,24.97,53.88,34.95
1751598778,27.96,47.78,35.2
1751599379,28.61,52.23,38.24
1751599979,22.31,50.94,32.81
1751600579,23.27,39.48,33.02
1751601179,24.52,53.16,35.51
1751601779,23.44,47.23,35.42
1751602379,29.81,48.16,36.03
1751602979,28.27,58.52,39.01
1751603579,30.15,54.15,35.22
1751604180,29.31,47.19,40.58
1751604780,34.08,54.88,39.93
1751605380,34.55,52.42,43.19
1751605980,34.92,53.68,40.57
1751606580,30.46,52.84,42.94
1751607180,28.29,53.17,43.11
1751607780,36.81,62.94,45.09
1751608381,37.65,57.32,44.56
1751608981,31.21,60.52,43.57
1751609581,37.61,63.77,45.79
1751610181,38.29,59.15,47.7
1751610781,32.4,54.58,46.87
1751611381,34.66,50.06,43.65
1751611981,34.8,63.04,44.91
1751612582,42.09,63.37,48.31
1751613182,34.5,65.74,48.43
1751613782,37.01,67.5,47.62
1751614382,34.75,54.91,49.01
1751614982,39.91,67.72,48.97
1751615582,36.67,55.45,48.67
1751616182,32.56,64.59,47.35
1751616783,36.66,53.78,48.61
1751617383,40.58,61.3,48.9
1751617983,45.01,62.35,51.58
1751618583,39.31,70.46,51.85
1751619183,39.6,65.32,52.15
1751619783,42.72,61.94,53.09
1751620383,46.52,68.8,52.93
1751620984,43.86,66.1,51.47
1751621584,38.51,63.56,52.64
1751622184,43.5,68.09,55.59
1751622784,41.3,58.05,48.79
1751623384,46.04,65.71,52.58
1751623984,45.15,69.37,53.47
1751624584,39.49,58.19,51.94
1751625184,45.36,73.71,58.88
1751625785,42.3,67.39,54.94
1751626385,49.36,66.46,55.48
1751626985,42.72,76.0,56.3
1751627585,40.13,63.33,54.01
1751628185,49.01,71.21,55.9
1751628785,44.75,74.91,56.68
1751629385,46.67,61.67,53.91
1751629986,48.76,69.27,55.75
1751630586,39.26,63.17,52.91
1751631186,42.37,63.99,55.09
1751631786,43.88,68.53,54.67
1751632386,49.71,65.02,59.44
1751632986,41.92,67.8,54.16
1751633586,41.46,74.2,55.79
1751634187,41.76,61.71,54.64
1751634787,47.86,71.24,55.0
1751635387,44.33,63.02,53.84
1751635987,42.41,65.85,53.01
1751636587,47.54,62.02,52.96
1751637187,43.88,72.84,55.1
1751637787,46.07,66.64,54.9
1751638388,52.03,70.2,57.24
1751638988,46.43,70.93,54.37
1751639588,45.63,65.34,54.62
1751640188,41.57,66.97,50.04
1751640788,40.35,63.31,49.73
1751641388,39.89,69.65,50.16
1751641988,47.69,71.16,54.71
1751642589,44.57,60.8,52.4
1751643189,40.19,62.01,53.15
1751643789,36.79,59.92,50.93
1751644389,39.16,62.17,47.97
1751644989,37.85,54.06,48.26
1751645589,44.29,64.16,50.11
1751646189,35.52,53.03,45.93
1751646789,30.54,56.72,42.03
1751647390,36.86,65.15,49.49
1751647990,33.47,60.16,48.05
1751648590,42.49,60.12,49.2
1751649190,36.66,57.03,44.84
1751649790,34.64,55.26,45.13
1751650390,31.92,53.13,44.75
1751650990,40.63,60.15,46.64
1751651591,34.99,59.78,45.86
1751652191,34.71,53.93,42.74
1751652791,33.71,59.49,44.17
1751653391,30.48,50.62,39.73
1751653991,38.85,51.71,45.34
1751654591,26.88,45.01,38.82
1751655191,28.08,55.44,38.98
1751655792,28.98,46.56,39.54
1751656392,32.46,47.0,41.1
1751656992,27.67,52.14,37.45
1751657592,24.55,57.24,37.58
1751658192,20.92,55.06,35.6
1751658792,31.07,54.38,36.83
1751659392,30.71,44.88,38.44
1751659993,28.75,45.09,35.64
1751660593,20.2,48.0,34.75
1751661193,18.13,51.16,31.6
1751661793,33.64,51.84,38.95
1751662393,22.98,50.52,35.78
1751662993,27.2,46.62,34.55
1751663593,22.3,47.01,30.13
1751664194,26.65,52.15,35.44
1751664794,21.74,40.07,29.27
1751665394,13.46,32.44,27.09
1751665994,21.1,43.04,30.37
1751666594,15.86,42.45,28.39
1751667194,20.21,44.59,33.72
1751667794,21.3,49.16,31.83
1751668394,25.87,44.08,35.25
1751668995,25.44,48.71,32.61
1751669595,24.66,50.7,32.05
1751670195,18.36,37.62,30.18
1751670795,26.78,43.86,34.47
1751671395,29.39,43.65,36.87
1751671995,23.08,41.79,31.91
1751672595,16.87,37.8,27.35
1751673196,17.75,40.26,29.76
1751673796,14.37,38.91,20.53
1751674396,16.79,30.52,23.64
1751674996,12.48,40.56,22.77
1751675596,12.64,28.34,21.94
1751676196,12.75,42.69,25.57
1751676796,15.24,45.37,27.05
1751677397,12.11,31.63,24.5
1751677997,19.44,44.3,26.25
1751678597,20.58,34.26,28.46
1751679197,14.55,40.01,25.41
1751679797,11.41,43.74,26.4
1751680397,23.91,38.58,28.93
1751680997,13.05,31.16,24.88
1751681598,20.32,33.45,28.18
1751682198,12.39,33.49,25.57
1751682798,17.14,33.81,25.07
1751683398,15.04,37.63,24.96
1751683998,23.07,43.33,29.9
1751684598,24.1,43.34,29.49
1751685198,19.06,45.52,30.46
1751685799,20.1,47.22,27.73
1751686399,19.06,40.86,27.7
1751686999,18.15,47.17,29.6
1751687599,22.02,50.24,31.13
1751688199,23.27,45.28,30.59
1751688799,20.05,47.18,32.59
1751689399,22.4,36.96,31.82
1751689999,15.5,40.88,29.65
1751690600,22.93,47.25,30.48
1751691200,22.33,49.99,33.68
1751691800,21.7,54.12,34.79
1751692400,23.17,40.81,35.33
1751693000,29.08,54.56,34.96
1751693600,28.35,55.18,36.32
1751694200,31.39,44.77,37.35
1751694801,23.21,50.5,33.39
1751695401,29.42,50.98,37.43
1751696001,31.16,54.6,38.85
1751696601,24.71,42.28,35.87
1751697201,30.55,45.91,39.54
1751697801,31.51,49.49,40.54
1751698401,23.49,56.34,38.14
1751699002,28.5,59.9,41.27
1751699602,26.35,53.14,39.52
1751700202,31.87,52.88,39.42
1751700802,26.73,46.71,41.42
1751701402,28.39,52.3,42.6
1751702002,33.15,62.46,43.79
1751702602,30.52,59.84,43.15
1751703203,30.02,56.74,41.91
1751703803,29.4,52.44,43.9
1751704403,39.98,67.01,47.57
1751705003,31.13,52.85,44.6
1751705603,39.18,55.25,44.75
1751706203,31.42,56.86,45.34
1751706803,30.57,59.96,43.13
1751707404,37.89,65.24,49.62
1751708004,43.67,61.21,48.81
1751708604,38.71,61.21,44.76
1751709204,39.51,66.45,50.79
1751709804,32.3,64.46,46.27
1751710404,37.32,55.94,44.85
1751711004,34.05,64.45,47.85
1751711604,43.23,70.97,51.88
1751712205,43.34,61.7,51.46
1751712805,43.66,67.94,48.7
1751713405,35.71,56.11,46.89
1751714005,40.41,63.43,52.02
1751714605,38.17,64.68,49.24
1751715205,44.21,59.52,52.1
1751715805,34.03,61.3,48.38
1751716406,40.54,59.36,52.68
1751717006,36.71,62.4,51.02
1751717606,43.37,71.82,51.82
1751718206,43.98,62.44,51.61
1751718806,34.45,68.01,48.86
1751719406,36.23,62.99,48.32
1751720006,39.2,63.6,46.2
1751720607,38.97,67.18,49.81
1751721207,41.61,57.57,49.46
1751721807,38.86,67.94,51.54
1751722407,41.28,55.07,50.0
1751723007,37.95,56.78,50.7
1751723607,31.03,53.58,42.54
1751724207,39.65,61.38,48.01
1751724808,40.48,64.74,46.19
1751725408,30.12,60.96,42.79
1751726008,29.01,52.45,43.77
1751726608,36.46,58.07,44.79
1751727208,40.19,63.84,45.32
1751727808,31.25,62.7,44.2
1751728408,28.59,50.97,43.41
1751729009,36.29,63.08,45.97
1751729609,31.39,54.63,44.22
1751730209,33.08,50.42,43.32
1751730809,31.91,52.52,42.05
1751731409,31.14,58.55,44.9
1751732009,33.47,45.74,40.59
1751732609,32.09,59.0,44.88
1751733209,33.74,58.17,44.05
1751733810,32.88,62.04,43.18
1751734410,29.32,60.21,40.43
1751735010,32.82,48.17,38.16
1751735610,31.01,56.58,37.72
1751736210,27.69,53.81,37.47
1751736810,28.67,53.0,37.83
1751737410,29.34,55.35,37.08
1751738011,31.93,47.33,38.01
1751738611,24.6,42.08,35.3
1751739211,27.86,42.93,37.57
1751739811,29.44,55.34,37.03
1751740411,29.47,49.44,35.76
1751741011,22.87,50.47,34.14
1751741611,24.21,50.39,33.56
1751742212,25.88,50.28,33.57
1751742812,18.47,44.07,32.09
1751743412,19.95,45.1,33.92
1751744012,24.59,44.53,33.82
1751744612,20.33,42.97,30.14
1751745212,24.7,46.99,33.08
1751745812,17.65,48.03,32.15
1751746413,18.13,38.85,26.42
1751747013,18.22,36.99,27.93
1751747613,20.92,36.29,28.09
1751748213,23.7,35.37,30.14
1751748813,22.22,43.24,27.84
1751749413,14.08,41.07,27.56
1751750013,16.44,38.14,28.7
1751750614,13.08,40.97,24.35
1751751214,18.33,37.82,24.25
1751751814,12.28,28.3,21.42
1751752414,17.15,41.75,28.01
1751753014,17.27,33.26,23.11
1751753614,12.48,34.59,25.98
1751754214,18.34,43.87,25.02
1751754814,8.35,34.88,21.14
1751755415,15.0,40.31,25.79
1751756015,15.07,37.73,21.89
1751756615,20.3,40.4,26.84
1751757215,16.02,39.08,24.86
1751757815,14.01,33.2,25.71
1751758415,12.32,41.94,26.17
1751759015,17.33,33.83,25.72
1751759616,16.88,40.6,24.0
1751760216,8.42,32.64,19.91
1751760816,5.76,40.55,20.67
1751761416,7.98,38.68,20.85
1751762016,6.95,31.15,21.05
1751762616,7.67,29.37,21.21
1751763216,13.89,26.71,20.84
1751763817,12.72,34.85,22.03
1751764417,18.67,34.12,23.79
1751765017,7.76,37.23,22.48
1751765617,19.42,38.97,24.56
1751766217,23.21,37.31,28.78
1751766817,18.35,33.03,25.66
1751767417,14.0,37.69,25.83
1751768018,7.34,27.52,19.96
1751768618,12.32,36.05,24.76
1751769218,9.71,28.32,23.03
1751769818,17.39,36.07,23.43
1751770418,12.24,35.3,23.12
1751771018,20.32,34.67,27.11
1751771618,16.44,42.17,24.67
1751772219,13.93,38.38,28.85
1751772819,12.94,40.6,21.99
1751773419,19.62,43.88,26.69
1751774019,19.14,48.72,29.29
1751774619,14.79,39.72,26.44
1751775219,14.0,48.4,28.92
1751775819,20.03,46.7,32.74
1751776419,15.65,48.76,28.79
1751777020,15.54,43.23,29.89
1751777620,13.99,43.96,25.08
1751778220,16.94,35.9,29.8
1751778820,25.15,45.99,32.79
1751779420,21.45,46.6,33.12
1751780020,28.32,50.22,34.48
1751780620,22.22,41.55,32.32
1751781221,28.43,47.52,34.32
1751781821,32.85,50.03,39.17
1751782421,33.4,55.71,38.76
1751783021,27.66,42.67,33.32
1751783621,29.01,53.18,34.78
1751784221,28.34,55.34,36.78
1751784821,29.83,43.54,37.22
1751785422,26.72,50.09,34.45
1751786022,25.52,46.36,37.5
1751786622,32.27,48.89,40.1
1751787222,27.63,48.09,36.91
1751787822,27.45,55.45,40.39
1751788422,28.89,57.48,42.19
1751789022,35.38,57.22,43.73
1751789623,30.76,55.97,38.24
1751790223,27.97,52.59,39.54
1751790823,28.05,47.29,41.69
1751791423,30.69,46.8,41.63
1751792023,30.32,48.94,42.2
1751792623,28.73,57.1,41.46
1751793223,31.55,48.22,39.7
1751793824,36.55,52.79,44.53
1751794424,34.25,53.47,44.24
1751795024,32.16,50.2,41.96
1751795624,35.57,55.01,44.42
1751796224,32.9,64.78,46.48
1751796824,32.82,55.76,42.58
1751797424,33.23,61.45,45.92
1751798024,30.0,63.62,43.74
1751798625,34.25,61.05,46.78
1751799225,32.64,53.96,44.47
1751799825,32.99,58.94,45.46
1751800425,35.28,58.34,44.92
1751801025,33.68,56.02,46.45
1751801625,36.69,57.77,43.7
1751802225,33.21,57.16,45.88
1751802826,34.87,64.84,46.52
1751803426,38.62,55.98,46.41
1751804026,33.52,57.15,44.87
1751804626,32.93,53.96,42.89
1751805226,40.07,64.89,48.65
1751805826,35.15,66.74,46.94
1751806426,37.91,66.8,47.5
1751807027,31.78,49.97,42.39
1751807627,41.16,55.86,48.06
1751808227,32.7,65.23,46.9
1751808827,37.97,63.38,43.62
1751809427,37.55,59.03,47.51
1751810027,33.45,59.09,47.68
1751810627,33.74,61.95,46.08
1751811228,28.38,49.03,41.8
1751811828,35.65,54.85,46.24
1751812428,32.77,63.85,44.84
1751813028,38.88,63.48,46.59
1751813628,31.36,53.02,41.65
1751814228,26.3,47.71,40.83
1751814828,36.2,50.16,44.76
1751815429,31.41,63.25,45.41
1751816029,29.9,51.76,37.6
1751816629,31.28,52.71,39.09
1751817229,29.31,57.24,38.45
1751817829,35.12,54.52,42.16
1751818429,33.97,53.46,40.02
1751819029,21.86,51.01,34.45
1751819629,23.75,47.73,36.93
1751820230,26.42,50.69,36.24
1751820830,33.73,59.78,40.09
1751821430,31.6,44.09,37.75
1751822030,21.57,41.93,34.5
1751822630,28.12,46.7,34.85
1751823230,25.34,42.38,35.8
1751823830,29.39,48.97,34.92
1751824431,22.87,49.95,31.26
1751825031,25.42,47.69,34.05
1751825631,22.65,39.81,34.77
1751826231,28.18,52.31,33.42
1751826831,22.55,39.51,33.16
1751827431,17.24,41.08,31.39
1751828031,22.33,38.95,28.74
1751828632,21.58,37.11,30.13
1751829232,22.6,45.23,32.57
1751829832,16.08,34.92,29.43
1751830432,12.0,40.05,25.67
1751831032,17.16,42.05,31.24
1751831632,16.08,44.25,24.31
1751832232,22.51,37.57,28.95
1751832833,17.55,31.67,26.63
1751833433,16.7,44.73,26.65
1751834033,17.08,38.97,26.85
1751834633,25.19,38.4,30.48
1751835233,19.53,38.59,25.85
1751835833,10.65,39.32,24.12
1751836433,13.16,30.32,21.92
1751837034,16.91,37.9,23.11
1751837634,13.18,32.3,22.07
1751838234,15.68,35.02,22.24
1751838834,17.7,33.58,26.38
1751839434,13.84,31.76,23.07
1751840034,17.52,42.92,23.41
1751840634,13.05,30.55,23.55
1751841234,17.48,41.22,24.54
1751841835,11.15,41.04,22.43
1751842435,9.95,28.71,18.77
1751843035,10.89,28.8,20.42
1751843635,16.74,32.0,25.47
1751844235,9.5,37.18,21.56
1751844835,11.17,41.11,23.86
1751845435,15.6,26.92,21.31
1751846036,8.57,37.54,23.08
1751846636,4.89,29.83,13.39
1751847236,13.84,37.24,20.91
1751847836,18.24,30.97,23.61
1751848436,13.85,33.05,21.98
1751849036,13.83,29.49,22.22
1751849636,11.32,26.69,19.55
1751850237,10.59,25.84,20.62
1751850837,12.78,33.07,23.3
1751851437,8.14,29.62,19.87
1751852037,14.06,40.13,20.46
1751852637,15.0,40.45,23.23
1751853237,13.01,37.39,24.51
1751853837,12.58,38.52,24.65
1751854438,11.39,27.43,19.29
1751855038,16.29,45.27,25.82
1751855638,21.01,31.97,26.13
1751856238,10.31,32.74,23.5
1751856838,14.83,43.24,23.83
1751857438,14.98,36.31,26.48
1751858038,15.44,41.66,28.12
1751858639,11.97,36.53,23.2
1751859239,11.44,42.98,23.43
1751859839,20.71,38.46,27.62
1751860439,17.94,35.45,26.67
1751861039,14.72,41.86,27.71
1751861639,20.6,44.18,27.16
1751862239,22.03,41.49,29.34
1751862839,22.71,33.42,27.88
1751863440,18.8,39.87,27.25
1751864040,18.98,38.31,30.79
1751864640,18.89,33.38,25.39
1751865240,19.95,42.23,30.63
1751865840,23.6,39.61,33.18
1751866440,19.92,49.13,32.72
1751867040,23.73,52.21,33.96
1751867641,23.06,49.09,35.57
1751868241,21.92,49.85,34.1
1751868841,25.23,42.73,31.98
1751869441,25.88,47.65,34.56
1751870041,21.82,45.66,35.1
1751870641,23.32,44.47,31.87
1751871241,25.29,52.85,35.65
1751871842,26.57,59.02,39.27
1751872442,26.73,41.68,36.17
1751873042,27.69,44.06,34.7
1751873642,27.53,42.47,35.79
1751874242,33.06,46.48,39.52
1751874842,34.32,54.01,42.21
1751875442,27.93,50.97,40.79
1751876043,28.68,58.06,38.93
